Sl. No.,India/States/UTs,Census 2001,Census 2011
,India,64.84,72.98
1,Andhra Pradesh,60.47,67.02
2,Arunachal Pradesh,54.34,65.38
3,Assam,63.25,72.19
4,Bihar,47,61.8
5,Chhattisgarh,64.66,70.28
6,Goa,82.01,88.7
7,Gujarat,69.14,78.03
8,Haryana,67.91,75.55
9,Himachal Pradesh,76.48,82.8
10,Jammu and Kashmir,55.52,67.16
11,Jharkhand,53.56,66.41
12,Karnataka,66.64,75.36
13,Kerala,90.86,94
14,Madhya Pradesh,63.74,69.32
15,Maharashtra,76.88,82.34
16,Manipur,69.93,76.94
17,Meghalaya,62.56,74.43
18,Mizoram,88.8,91.33
19,Nagaland,66.59,79.55
20,Odisha,63.08,72.87
21,Punjab,69.65,75.84
22,Rajasthan,60.41,66.11
23,Sikkim,68.81,81.42
24,Tamil Nadu,73.45,80.09
25,Tripura,73.19,87.22
26,Uttar Pradesh,56.27,67.68
27,Uttrakhand,71.62,78.82
28,West Bengal,68.64,76.26
29,Andaman and Nicobar Islands,81.3,86.63
30,Chandigarh,81.94,86.05
31,Dadra and Nagar Haveli,57.63,76.24
32,Daman and Diu,78.18,87.1
33,Delhi,81.67,86.21
34,Lakshadweep,86.66,91.85
35,Puducherry,81.24,85.85
